NODE=[HOST_b9efa05339] | JOB=cts2-k50-R-s2 4912593 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups [50,12] --seed 2 --save-directory cluster/Account2/metaopt/runs/cts2 --run-name cts2-k50-R-s2
ENV: AUGMENT=1 BETA_CLIP=-80:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.01 %, Test Accuracy: 1.06 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 0.99 %
Epoch 3, Train Accuracy: 1.09 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 1.08 %, Test Accuracy: 1.10 %
Epoch 5, Train Accuracy: 1.18 %, Test Accuracy: 1.05 %
Epoch 6, Train Accuracy: 1.17 %, Test Accuracy: 1.28 %
Epoch 7, Train Accuracy: 1.44 %, Test Accuracy: 1.62 %
Epoch 8, Train Accuracy: 1.86 %, Test Accuracy: 2.17 %
Epoch 9, Train Accuracy: 2.39 %, Test Accuracy: 2.78 %
Epoch 10, Train Accuracy: 3.19 %, Test Accuracy: 4.13 %
Epoch 11, Train Accuracy: 4.65 %, Test Accuracy: 5.62 %
Epoch 12, Train Accuracy: 6.04 %, Test Accuracy: 7.03 %
Epoch 13, Train Accuracy: 7.63 %, Test Accuracy: 8.52 %
Epoch 14, Train Accuracy: 9.52 %, Test Accuracy: 10.98 %
Epoch 15, Train Accuracy: 11.44 %, Test Accuracy: 12.55 %
Epoch 16, Train Accuracy: 13.49 %, Test Accuracy: 14.57 %
Epoch 17, Train Accuracy: 15.35 %, Test Accuracy: 16.69 %
Epoch 18, Train Accuracy: 17.49 %, Test Accuracy: 18.07 %
Epoch 19, Train Accuracy: 19.05 %, Test Accuracy: 19.23 %
