NODE=[HOST_3c1b003035] | JOB=zsx-l-r03-s0 4681815 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/zsx --run-name zsx-l-r03_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=zpool LAM=na ETA_RATIO=0.3
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.76 %, Test Accuracy: 12.95 %
Epoch 2, Train Accuracy: 13.01 %, Test Accuracy: 13.20 %
Epoch 3, Train Accuracy: 13.47 %, Test Accuracy: 13.48 %
Epoch 4, Train Accuracy: 13.67 %, Test Accuracy: 13.75 %
Epoch 5, Train Accuracy: 14.53 %, Test Accuracy: 14.49 %
Epoch 6, Train Accuracy: 15.76 %, Test Accuracy: 15.53 %
Epoch 7, Train Accuracy: 17.64 %, Test Accuracy: 17.78 %
Epoch 8, Train Accuracy: 20.22 %, Test Accuracy: 20.98 %
Epoch 9, Train Accuracy: 22.99 %, Test Accuracy: 24.09 %
Epoch 10, Train Accuracy: 26.51 %, Test Accuracy: 28.13 %
Epoch 11, Train Accuracy: 30.21 %, Test Accuracy: 32.85 %
Epoch 12, Train Accuracy: 33.96 %, Test Accuracy: 35.81 %
Epoch 13, Train Accuracy: 37.43 %, Test Accuracy: 39.62 %
Epoch 14, Train Accuracy: 41.76 %, Test Accuracy: 45.00 %
Epoch 15, Train Accuracy: 47.47 %, Test Accuracy: 51.82 %
Epoch 16, Train Accuracy: 53.85 %, Test Accuracy: 54.40 %
