NODE=[HOST_668d417035] | JOB=cpg1-kP-s12 4919797 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49/50-62 --seed 12 --save-directory cluster/Account2/metaopt/runs/cpg1 --run-name cpg1-kP-s12
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.00 %, Test Accuracy: 0.98 %
Epoch 1, Train Accuracy: 0.99 %, Test Accuracy: 0.89 %
Epoch 2, Train Accuracy: 0.99 %, Test Accuracy: 0.87 %
Epoch 3, Train Accuracy: 1.06 %, Test Accuracy: 0.90 %
Epoch 4, Train Accuracy: 1.11 %, Test Accuracy: 0.96 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 0.97 %
Epoch 6, Train Accuracy: 1.15 %, Test Accuracy: 1.08 %
Epoch 7, Train Accuracy: 1.47 %, Test Accuracy: 1.63 %
Epoch 8, Train Accuracy: 1.88 %, Test Accuracy: 2.32 %
Epoch 9, Train Accuracy: 2.71 %, Test Accuracy: 3.36 %
Epoch 10, Train Accuracy: 3.66 %, Test Accuracy: 4.17 %
Epoch 11, Train Accuracy: 4.93 %, Test Accuracy: 6.13 %
Epoch 12, Train Accuracy: 6.69 %, Test Accuracy: 7.78 %
Epoch 13, Train Accuracy: 8.54 %, Test Accuracy: 9.89 %
Epoch 14, Train Accuracy: 10.19 %, Test Accuracy: 11.13 %
Epoch 15, Train Accuracy: 11.97 %, Test Accuracy: 12.97 %
Epoch 16, Train Accuracy: 13.50 %, Test Accuracy: 14.74 %
Epoch 17, Train Accuracy: 14.97 %, Test Accuracy: 15.20 %
Epoch 18, Train Accuracy: 16.63 %, Test Accuracy: 18.33 %
Epoch 19, Train Accuracy: 19.62 %, Test Accuracy: 20.73 %
Epoch 20, Train Accuracy: 22.53 %, Test Accuracy: 23.07 %
Epoch 21, Train Accuracy: 24.46 %, Test Accuracy: 26.07 %
Epoch 22, Train Accuracy: 27.00 %, Test Accuracy: 27.95 %
Epoch 23, Train Accuracy: 29.27 %, Test Accuracy: 30.02 %
Epoch 24, Train Accuracy: 31.01 %, Test Accuracy: 31.70 %
Epoch 25, Train Accuracy: 33.13 %, Test Accuracy: 33.85 %
Epoch 26, Train Accuracy: 35.03 %, Test Accuracy: 34.85 %
Epoch 27, Train Accuracy: 36.87 %, Test Accuracy: 37.30 %
Epoch 28, Train Accuracy: 38.59 %, Test Accuracy: 38.76 %
