NODE=[HOST_e223b82d71] | JOB=cpg1-kC-s13 4919805 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-48,layer4.0.shortcut.0.weight/layer4.0.conv2.weight,50-51,53-62 --seed 13 --save-directory cluster/Account2/metaopt/runs/cpg1 --run-name cpg1-kC-s13
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.90 %, Test Accuracy: 1.07 %
Epoch 1, Train Accuracy: 0.92 %, Test Accuracy: 1.07 %
Epoch 2, Train Accuracy: 0.93 %, Test Accuracy: 1.03 %
Epoch 3, Train Accuracy: 0.92 %, Test Accuracy: 1.06 %
Epoch 4, Train Accuracy: 0.92 %, Test Accuracy: 1.08 %
Epoch 5, Train Accuracy: 0.89 %, Test Accuracy: 1.07 %
Epoch 6, Train Accuracy: 0.99 %, Test Accuracy: 1.21 %
Epoch 7, Train Accuracy: 1.19 %, Test Accuracy: 1.78 %
Epoch 8, Train Accuracy: 2.04 %, Test Accuracy: 2.55 %
Epoch 9, Train Accuracy: 2.75 %, Test Accuracy: 3.44 %
Epoch 10, Train Accuracy: 3.74 %, Test Accuracy: 4.50 %
Epoch 11, Train Accuracy: 4.75 %, Test Accuracy: 5.56 %
Epoch 12, Train Accuracy: 6.17 %, Test Accuracy: 7.53 %
Epoch 13, Train Accuracy: 7.85 %, Test Accuracy: 9.23 %
Epoch 14, Train Accuracy: 9.42 %, Test Accuracy: 11.17 %
Epoch 15, Train Accuracy: 11.39 %, Test Accuracy: 12.51 %
Epoch 16, Train Accuracy: 12.84 %, Test Accuracy: 14.05 %
Epoch 17, Train Accuracy: 14.50 %, Test Accuracy: 15.60 %
Epoch 18, Train Accuracy: 16.01 %, Test Accuracy: 17.43 %
Epoch 19, Train Accuracy: 18.20 %, Test Accuracy: 19.12 %
