NODE=[HOST_e8d809bd94] | JOB=cwd3-k01-s141 5047899 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 141 --save-directory cluster/Account2/metaopt/runs/cwd3 --run-name cwd3-k01-s141
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd3/probe_cwd3-k01-s141 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd3/probe_cwd3-k01-s141
Epoch 0, Train Accuracy: 0.94 %, Test Accuracy: 0.87 %
Epoch 1, Train Accuracy: 0.93 %, Test Accuracy: 0.92 %
Epoch 2, Train Accuracy: 0.94 %, Test Accuracy: 0.93 %
Epoch 3, Train Accuracy: 0.98 %, Test Accuracy: 0.87 %
Epoch 4, Train Accuracy: 0.94 %, Test Accuracy: 0.91 %
Epoch 5, Train Accuracy: 0.88 %, Test Accuracy: 0.93 %
Epoch 6, Train Accuracy: 1.00 %, Test Accuracy: 0.94 %
Epoch 7, Train Accuracy: 0.94 %, Test Accuracy: 1.01 %
Epoch 8, Train Accuracy: 1.06 %, Test Accuracy: 1.29 %
Epoch 9, Train Accuracy: 1.44 %, Test Accuracy: 1.89 %
Epoch 10, Train Accuracy: 2.70 %, Test Accuracy: 3.87 %
Epoch 11, Train Accuracy: 4.27 %, Test Accuracy: 5.09 %
Epoch 12, Train Accuracy: 5.72 %, Test Accuracy: 6.60 %
Epoch 13, Train Accuracy: 7.65 %, Test Accuracy: 9.49 %
Epoch 14, Train Accuracy: 10.10 %, Test Accuracy: 10.65 %
Epoch 15, Train Accuracy: 11.65 %, Test Accuracy: 13.21 %
Epoch 16, Train Accuracy: 13.62 %, Test Accuracy: 13.84 %
Epoch 17, Train Accuracy: 15.00 %, Test Accuracy: 16.04 %
Epoch 18, Train Accuracy: 17.04 %, Test Accuracy: 18.08 %
Epoch 19, Train Accuracy: 18.73 %, Test Accuracy: 19.22 %
Epoch 20, Train Accuracy: 19.80 %, Test Accuracy: 20.13 %
Epoch 21, Train Accuracy: 20.93 %, Test Accuracy: 20.79 %
Epoch 22, Train Accuracy: 21.43 %, Test Accuracy: 21.84 %
Epoch 23, Train Accuracy: 22.05 %, Test Accuracy: 22.14 %
