NODE=[HOST_e8d809bd94] | JOB=ciso1-CTRL-s21 4925521 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-19,21-22,24-28,30-62/layer2.0.bn2.weight,layer2.0.shortcut.1.weight,layer2.1.bn2.weight --seed 21 --save-directory cluster/Account2/metaopt/runs/ciso1 --run-name ciso1-CTRL-s21
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-CTRL-s21 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/ciso1/probe_ciso1-CTRL-s21
Epoch 0, Train Accuracy: 1.03 %, Test Accuracy: 1.06 %
Epoch 1, Train Accuracy: 1.01 %, Test Accuracy: 1.08 %
Epoch 2, Train Accuracy: 1.02 %, Test Accuracy: 1.15 %
Epoch 3, Train Accuracy: 1.11 %, Test Accuracy: 1.12 %
Epoch 4, Train Accuracy: 1.07 %, Test Accuracy: 1.13 %
Epoch 5, Train Accuracy: 1.16 %, Test Accuracy: 1.17 %
Epoch 6, Train Accuracy: 1.18 %, Test Accuracy: 1.27 %
Epoch 7, Train Accuracy: 1.25 %, Test Accuracy: 1.41 %
Epoch 8, Train Accuracy: 1.45 %, Test Accuracy: 1.83 %
Epoch 9, Train Accuracy: 2.17 %, Test Accuracy: 2.86 %
Epoch 10, Train Accuracy: 3.32 %, Test Accuracy: 4.30 %
Epoch 11, Train Accuracy: 4.57 %, Test Accuracy: 5.57 %
Epoch 12, Train Accuracy: 5.81 %, Test Accuracy: 7.06 %
Epoch 13, Train Accuracy: 7.58 %, Test Accuracy: 9.12 %
Epoch 14, Train Accuracy: 9.69 %, Test Accuracy: 10.52 %
Epoch 15, Train Accuracy: 11.63 %, Test Accuracy: 12.62 %
Epoch 16, Train Accuracy: 13.39 %, Test Accuracy: 13.89 %
Epoch 17, Train Accuracy: 14.80 %, Test Accuracy: 15.29 %
Epoch 18, Train Accuracy: 16.60 %, Test Accuracy: 17.94 %
Epoch 19, Train Accuracy: 18.33 %, Test Accuracy: 18.74 %
Epoch 20, Train Accuracy: 19.96 %, Test Accuracy: 20.38 %
Epoch 21, Train Accuracy: 20.97 %, Test Accuracy: 21.47 %
Epoch 22, Train Accuracy: 21.70 %, Test Accuracy: 22.16 %
Epoch 23, Train Accuracy: 22.15 %, Test Accuracy: 22.46 %
Epoch 24, Train Accuracy: 22.56 %, Test Accuracy: 22.73 %
Epoch 25, Train Accuracy: 22.66 %, Test Accuracy: 23.01 %
Epoch 26, Train Accuracy: 23.20 %, Test Accuracy: 22.73 %
Epoch 27, Train Accuracy: 23.07 %, Test Accuracy: 23.02 %
Epoch 28, Train Accuracy: 23.28 %, Test Accuracy: 22.89 %
Epoch 29, Train Accuracy: 23.33 %, Test Accuracy: 23.30 %
Epoch 30, Train Accuracy: 23.11 %, Test Accuracy: 22.95 %
Epoch 31, Train Accuracy: 23.08 %, Test Accuracy: 23.27 %
Epoch 32, Train Accuracy: 23.08 %, Test Accuracy: 23.09 %
Epoch 33, Train Accuracy: 23.28 %, Test Accuracy: 23.31 %
Epoch 34, Train Accuracy: 23.28 %, Test Accuracy: 22.98 %
Epoch 35, Train Accuracy: 23.23 %, Test Accuracy: 23.32 %
Epoch 36, Train Accuracy: 23.21 %, Test Accuracy: 22.95 %
Epoch 37, Train Accuracy: 23.26 %, Test Accuracy: 23.24 %
Epoch 38, Train Accuracy: 23.19 %, Test Accuracy: 23.42 %
Epoch 39, Train Accuracy: 23.23 %, Test Accuracy: 23.15 %
Epoch 40, Train Accuracy: 23.18 %, Test Accuracy: 23.26 %
Epoch 41, Train Accuracy: 23.20 %, Test Accuracy: 23.16 %
Epoch 42, Train Accuracy: 23.20 %, Test Accuracy: 23.13 %
Epoch 43, Train Accuracy: 23.24 %, Test Accuracy: 23.27 %
Epoch 44, Train Accuracy: 23.26 %, Test Accuracy: 23.22 %
Epoch 45, Train Accuracy: 23.29 %, Test Accuracy: 23.22 %
Epoch 46, Train Accuracy: 23.13 %, Test Accuracy: 23.25 %
Epoch 47, Train Accuracy: 23.16 %, Test Accuracy: 23.27 %
Epoch 48, Train Accuracy: 23.24 %, Test Accuracy: 23.33 %
Epoch 49, Train Accuracy: 22.95 %, Test Accuracy: 23.13 %
Epoch 50, Train Accuracy: 23.29 %, Test Accuracy: 23.41 %
Epoch 51, Train Accuracy: 23.25 %, Test Accuracy: 23.41 %
Epoch 52, Train Accuracy: 23.42 %, Test Accuracy: 23.20 %
Epoch 53, Train Accuracy: 23.37 %, Test Accuracy: 23.11 %
Epoch 54, Train Accuracy: 23.06 %, Test Accuracy: 23.22 %
Epoch 55, Train Accuracy: 23.14 %, Test Accuracy: 23.22 %
Epoch 56, Train Accuracy: 23.38 %, Test Accuracy: 23.04 %
Epoch 57, Train Accuracy: 23.38 %, Test Accuracy: 22.93 %
Epoch 58, Train Accuracy: 23.12 %, Test Accuracy: 23.37 %
Epoch 59, Train Accuracy: 23.21 %, Test Accuracy: 23.13 %
Epoch 60, Train Accuracy: 23.34 %, Test Accuracy: 23.26 %
Epoch 61, Train Accuracy: 23.30 %, Test Accuracy: 23.24 %
Epoch 62, Train Accuracy: 23.09 %, Test Accuracy: 23.20 %
Epoch 63, Train Accuracy: 23.11 %, Test Accuracy: 23.25 %
Epoch 64, Train Accuracy: 23.23 %, Test Accuracy: 23.06 %
Epoch 65, Train Accuracy: 23.19 %, Test Accuracy: 23.43 %
Epoch 66, Train Accuracy: 23.34 %, Test Accuracy: 23.27 %
Epoch 67, Train Accuracy: 23.24 %, Test Accuracy: 23.18 %
Epoch 68, Train Accuracy: 23.43 %, Test Accuracy: 23.30 %
Epoch 69, Train Accuracy: 23.42 %, Test Accuracy: 23.41 %
Epoch 70, Train Accuracy: 23.25 %, Test Accuracy: 23.24 %
Epoch 71, Train Accuracy: 23.43 %, Test Accuracy: 23.34 %
Epoch 72, Train Accuracy: 23.45 %, Test Accuracy: 23.29 %
Epoch 73, Train Accuracy: 23.25 %, Test Accuracy: 23.39 %
Epoch 74, Train Accuracy: 23.33 %, Test Accuracy: 23.27 %
Epoch 75, Train Accuracy: 23.15 %, Test Accuracy: 23.25 %
Epoch 76, Train Accuracy: 23.25 %, Test Accuracy: 23.15 %
Epoch 77, Train Accuracy: 23.24 %, Test Accuracy: 23.28 %
Epoch 78, Train Accuracy: 23.17 %, Test Accuracy: 22.88 %
Epoch 79, Train Accuracy: 23.41 %, Test Accuracy: 23.15 %
Epoch 80, Train Accuracy: 23.28 %, Test Accuracy: 23.17 %
Epoch 81, Train Accuracy: 23.32 %, Test Accuracy: 23.20 %
Epoch 82, Train Accuracy: 23.46 %, Test Accuracy: 23.23 %
Epoch 83, Train Accuracy: 23.22 %, Test Accuracy: 23.16 %
Epoch 84, Train Accuracy: 23.36 %, Test Accuracy: 23.28 %
Epoch 85, Train Accuracy: 23.15 %, Test Accuracy: 23.16 %
Epoch 86, Train Accuracy: 23.19 %, Test Accuracy: 23.26 %
Epoch 87, Train Accuracy: 23.19 %, Test Accuracy: 23.46 %
Epoch 88, Train Accuracy: 23.29 %, Test Accuracy: 23.32 %
Epoch 89, Train Accuracy: 23.30 %, Test Accuracy: 23.19 %
Epoch 90, Train Accuracy: 23.23 %, Test Accuracy: 23.28 %
Epoch 91, Train Accuracy: 23.48 %, Test Accuracy: 23.02 %
Epoch 92, Train Accuracy: 23.42 %, Test Accuracy: 23.20 %
Epoch 93, Train Accuracy: 23.36 %, Test Accuracy: 23.17 %
Epoch 94, Train Accuracy: 23.37 %, Test Accuracy: 23.26 %
Epoch 95, Train Accuracy: 23.42 %, Test Accuracy: 23.39 %
Epoch 96, Train Accuracy: 23.19 %, Test Accuracy: 23.21 %
Epoch 97, Train Accuracy: 23.18 %, Test Accuracy: 23.30 %
Epoch 98, Train Accuracy: 23.29 %, Test Accuracy: 23.06 %
Epoch 99, Train Accuracy: 23.44 %, Test Accuracy: 23.22 %
43  minutes
RUN_DONE
