NODE=[HOST_b0a55dfb8c] | JOB=cvt10-ONE53-s121 5045308 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-52,54-62/layer4.0.shortcut.1.weight --seed 121 --save-directory cluster/Account2/metaopt/runs/cvt10 --run-name cvt10-ONE53-s121
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ONE53-s121 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ONE53-s121
Epoch 0, Train Accuracy: 0.98 %, Test Accuracy: 1.04 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.98 %
Epoch 2, Train Accuracy: 1.01 %, Test Accuracy: 1.00 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 1.03 %
Epoch 4, Train Accuracy: 1.05 %, Test Accuracy: 1.01 %
Epoch 5, Train Accuracy: 1.00 %, Test Accuracy: 1.06 %
Epoch 6, Train Accuracy: 1.04 %, Test Accuracy: 1.12 %
Epoch 7, Train Accuracy: 1.07 %, Test Accuracy: 1.09 %
Epoch 8, Train Accuracy: 1.19 %, Test Accuracy: 1.38 %
Epoch 9, Train Accuracy: 1.94 %, Test Accuracy: 2.01 %
Epoch 10, Train Accuracy: 3.18 %, Test Accuracy: 3.99 %
Epoch 11, Train Accuracy: 4.82 %, Test Accuracy: 5.62 %
Epoch 12, Train Accuracy: 6.40 %, Test Accuracy: 7.44 %
Epoch 13, Train Accuracy: 8.05 %, Test Accuracy: 8.97 %
Epoch 14, Train Accuracy: 10.12 %, Test Accuracy: 11.03 %
Epoch 15, Train Accuracy: 11.53 %, Test Accuracy: 13.02 %
Epoch 16, Train Accuracy: 13.40 %, Test Accuracy: 14.84 %
Epoch 17, Train Accuracy: 15.01 %, Test Accuracy: 15.68 %
Epoch 18, Train Accuracy: 17.46 %, Test Accuracy: 19.58 %
Epoch 19, Train Accuracy: 20.14 %, Test Accuracy: 20.97 %
Epoch 20, Train Accuracy: 22.04 %, Test Accuracy: 23.19 %
Epoch 21, Train Accuracy: 24.36 %, Test Accuracy: 24.83 %
Epoch 22, Train Accuracy: 25.85 %, Test Accuracy: 25.48 %
Epoch 23, Train Accuracy: 27.94 %, Test Accuracy: 28.13 %
