NODE=[HOST_3c1b003035] | JOB=cvt10-ISO-s120 5045292 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups sets:1-49,51-52,54-58,60-62/layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight --seed 120 --save-directory cluster/Account2/metaopt/runs/cvt10 --run-name cvt10-ISO-s120
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ISO-s120 EB_RHO=na EB_LOG=0
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=blockwise tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cvt10/probe_cvt10-ISO-s120
Epoch 0, Train Accuracy: 1.06 %, Test Accuracy: 0.99 %
Epoch 1, Train Accuracy: 0.98 %, Test Accuracy: 0.99 %
Epoch 2, Train Accuracy: 1.04 %, Test Accuracy: 0.95 %
Epoch 3, Train Accuracy: 1.07 %, Test Accuracy: 0.98 %
Epoch 4, Train Accuracy: 1.04 %, Test Accuracy: 0.98 %
Epoch 5, Train Accuracy: 1.01 %, Test Accuracy: 0.97 %
Epoch 6, Train Accuracy: 1.06 %, Test Accuracy: 1.04 %
Epoch 7, Train Accuracy: 1.23 %, Test Accuracy: 1.45 %
Epoch 8, Train Accuracy: 1.75 %, Test Accuracy: 2.42 %
Epoch 9, Train Accuracy: 2.62 %, Test Accuracy: 3.51 %
Epoch 10, Train Accuracy: 3.52 %, Test Accuracy: 4.05 %
Epoch 11, Train Accuracy: 4.54 %, Test Accuracy: 5.48 %
Epoch 12, Train Accuracy: 6.07 %, Test Accuracy: 7.37 %
Epoch 13, Train Accuracy: 8.04 %, Test Accuracy: 8.83 %
Epoch 14, Train Accuracy: 9.84 %, Test Accuracy: 10.74 %
Epoch 15, Train Accuracy: 11.98 %, Test Accuracy: 13.33 %
Epoch 16, Train Accuracy: 14.40 %, Test Accuracy: 15.75 %
Epoch 17, Train Accuracy: 17.38 %, Test Accuracy: 19.70 %
Epoch 18, Train Accuracy: 21.62 %, Test Accuracy: 23.30 %
Epoch 19, Train Accuracy: 27.04 %, Test Accuracy: 29.10 %
Epoch 20, Train Accuracy: 31.40 %, Test Accuracy: 33.10 %
Epoch 21, Train Accuracy: 34.55 %, Test Accuracy: 33.98 %
Epoch 22, Train Accuracy: 38.32 %, Test Accuracy: 38.84 %
Epoch 23, Train Accuracy: 41.19 %, Test Accuracy: 41.59 %
Epoch 24, Train Accuracy: 44.42 %, Test Accuracy: 45.34 %
