NODE=[HOST_3c1b003035] | JOB=cl5-lay-cU-s1 4702351 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/cl5 --run-name cl5-lay-cU-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/cl5/probe_lay_cU_s1
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.71 %, Test Accuracy: 31.65 %
Epoch 1, Train Accuracy: 38.27 %, Test Accuracy: 44.39 %
Epoch 2, Train Accuracy: 47.32 %, Test Accuracy: 51.95 %
Epoch 3, Train Accuracy: 55.50 %, Test Accuracy: 58.52 %
Epoch 4, Train Accuracy: 62.68 %, Test Accuracy: 62.04 %
Epoch 5, Train Accuracy: 69.40 %, Test Accuracy: 71.74 %
Epoch 6, Train Accuracy: 73.78 %, Test Accuracy: 72.49 %
Epoch 7, Train Accuracy: 77.54 %, Test Accuracy: 79.32 %
Epoch 8, Train Accuracy: 80.27 %, Test Accuracy: 80.13 %
Epoch 9, Train Accuracy: 82.23 %, Test Accuracy: 80.22 %
Epoch 10, Train Accuracy: 83.66 %, Test Accuracy: 81.84 %
Epoch 11, Train Accuracy: 84.84 %, Test Accuracy: 83.54 %
Epoch 12, Train Accuracy: 86.41 %, Test Accuracy: 84.24 %
Epoch 13, Train Accuracy: 86.99 %, Test Accuracy: 84.51 %
Epoch 14, Train Accuracy: 88.05 %, Test Accuracy: 85.27 %
Epoch 15, Train Accuracy: 88.92 %, Test Accuracy: 85.78 %
Epoch 16, Train Accuracy: 89.74 %, Test Accuracy: 85.96 %
Epoch 17, Train Accuracy: 90.21 %, Test Accuracy: 86.45 %
Epoch 18, Train Accuracy: 90.81 %, Test Accuracy: 85.70 %
Epoch 19, Train Accuracy: 91.60 %, Test Accuracy: 87.95 %
16  minutes
RUN_DONE
